EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at https://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
    6,136152,KARLSTAD                                ,SE,+59:21:00,+013:28:00,  46, TG6,18611218,20080930,   56,Marcus Flarup                                     
    6,166036,VARPNAS                                 ,SE,+59:24:00,+013:16:12,  68, TG6,19610101,19671230,   56,Marcus Flarup                                     
    7,136140,KARLSTAD-AIRPORT                        ,SE,+59:26:40,+013:20:15, 107, TG6,19420601,20221031,   56,Marcus Flarup                                     
    8,108913,OESTERSUND                              ,SE,+63:10:59,+014:28:59, 376, TG6,19180101,19531231,    1,Markku Rummukainen                                
    8,136791,FROSON_D                                ,SE,+63:11:24,+014:29:24, 375, TG6,20021101,20060630,   56,Marcus Flarup                                     
    8,136794,FROSON                                  ,SE,+63:11:51,+014:29:11, 376, TG6,19440101,20221031,   56,Marcus Flarup                                     
    8,136797,ROSTA                                   ,SE,+63:14:24,+014:33:00, 360, TG6,19430101,20111231,   56,Marcus Flarup                                     
    8,158035,OESTERSUND-FROESOEN                     ,SE,+63:10:59,+014:28:59, 376, TG6,18601008,19800630,   56,Marcus Flarup                                     
    9,136791,FROSON_D                                ,SE,+63:11:24,+014:29:24, 375, TG6,20021101,20060630,   56,Marcus Flarup                                     
    9,136794,FROSON                                  ,SE,+63:11:51,+014:29:11, 376, TG6,19440101,20221031,   56,Marcus Flarup                                     
    9,136797,ROSTA                                   ,SE,+63:14:24,+014:33:00, 360, TG6,19430101,20111231,   56,Marcus Flarup                                     
    9,158035,OESTERSUND-FROESOEN                     ,SE,+63:10:59,+014:28:59, 376, TG6,18601008,19800630,   56,Marcus Flarup                                     
   10,100030,STOCKHOLM                               ,SE,+59:21:00,+018:03:00,  44, TG6,17560101,20031231,    2,Anders Moberg                                     
   10,136122,STOCKHOLM                               ,SE,+59:21:00,+018:03:00,  44, TG6,18590117,20221031,   56,Marcus Flarup                                     
   11,106022,KREMSMUENSTER (TAWES)                   ,AT,+48:03:18,+014:07:51, 382, TG5,18760101,20211231,    3,Wolfgang Lipa                                     
   11,225518,KREMSMUENSTER                           ,AT,+48:03:19,+014:07:54, 383, TG5,19740101,20081231,    3,Wolfgang Lipa                                     
   11,236490,KREMSMUENSTER (TAWES)                   ,AT,+48:03:18,+014:07:50, 382, TG5,18760101,20211231,    3,Wolfgang Lipa                                     
   11,911012,KREMSMUENSTER                           ,AT,+48:03:00,+014:07:59, 389, TG5,19820113,20221031,    -,Synoptical message from GTS
   12,100034,GRAZ-UNIVERSITAET                       ,AT,+47:04:40,+015:26:56, 367, TG7,19010101,20101231,    3,Wolfgang Lipa                                     
   12,219157,GRAZ-UNIVERSITAET                       ,AT,+47:04:40,+015:26:56, 367, TG5,19880601,20211231,    3,Wolfgang Lipa                                     
   12,229067,GRAZ-UNIVERSITAET                       ,AT,+47:04:46,+015:26:52, 366, TG5,18940101,19880531,    3,Wolfgang Lipa                                     
   12,911290,GRAZ UNIVERSITAET                       ,AT,+47:04:59,+015:27:00, 378, TG5,20141010,20221031,    -,Synoptical message from GTS
   13,100036,INNSBRUCK-UNIV                          ,AT,+47:15:36,+011:23:03, 578, TG7,19010101,20101231,    3,Wolfgang Lipa                                     
   13,219156,INNSBRUCK-UNIV                          ,AT,+47:15:36,+011:23:03, 578, TG5,19860901,20211231,    3,Wolfgang Lipa                                     
   13,227858,INNSBRUCK-UNIV.                         ,AT,+47:15:37,+011:23:06, 577, TG5,18770101,19861231,    3,Wolfgang Lipa                                     
   13,911121,INNSBRUCK-FLUGHAFEN (AUTOMAT)           ,AT,+47:15:36,+011:21:24, 585, TG5,20141010,20221031,    -,Synoptical message from GTS
   14,100038,SALZBURG-FLUGHAFEN                      ,AT,+47:47:21,+013:00:29, 430, TG7,19010101,20101231,    3,Wolfgang Lipa                                     
   14,219159,SALZBURG-FLUGHAFEN                      ,AT,+47:47:21,+013:00:29, 430, TG5,19390301,20211231,    3,Wolfgang Lipa                                     
   14,235723,SALZBURG-FLUGHAFEN                      ,AT,+47:47:21,+013:00:29, 430, TG5,18740101,20211231,    3,Wolfgang Lipa                                     
   14,911150,SALZBURG-FLUGHAFEN                      ,AT,+47:48:00,+013:00:00, 450, TG5,19820113,20221031,    -,Synoptical message from GTS
   15,100040,SONNBLICK (TAWES)                       ,AT,+47:03:15,+012:57:27,3109, TG7,19010101,20101231,    3,Wolfgang Lipa                                     
   15,219158,SONNBLICK (TAWES)                       ,AT,+47:03:15,+012:57:27,3109, TG5,19860901,20211231,    3,Wolfgang Lipa                                     
   15,228833,SONNBLICK                               ,AT,+47:03:14,+012:57:27,3109, TG5,18861001,20081231,    3,Wolfgang Lipa                                     
   15,236607,SONNBLICK (TAWES)                       ,AT,+47:03:14,+012:57:27,3109, TG5,18861001,20211231,    3,Wolfgang Lipa                                     
   15,911343,SONNBLICK -AUTOM.                       ,AT,+47:03:00,+012:57:00,3111, TG5,19980704,20221031,    -,Synoptical message from GTS
   16,100042,WIEN-HOHE WARTE                         ,AT,+48:14:54,+016:21:23, 198, TG7,19010101,20101231,    3,Wolfgang Lipa                                     
   16,219155,WIEN-HOHE WARTE                         ,AT,+48:14:54,+016:21:23, 198, TG5,19930101,20211231,    3,Wolfgang Lipa                                     
   16,226090,WIEN ALTE UNIV.(STERNW)                 ,AT,+48:13:00,+016:22:00, 175, TG5,18630101,18731231,    3,Wolfgang Lipa                                     
   16,230874,WIEN-HOHE WARTE                         ,AT,+48:14:53,+016:21:21, 198, TG5,18720501,19921231,    3,Wolfgang Lipa                                     
   16,235424,WIEN-HOHE WARTE                         ,AT,+48:14:53,+016:21:21, 198, TG5,18550201,20211231,    3,Wolfgang Lipa                                     
   16,911035,WIEN/HOHE WARTE                         ,AT,+48:15:00,+016:22:00, 200, TG5,19820113,20221031,    -,Synoptical message from GTS
   21,100060,ZAGREB-GRIC                             ,HR,+45:49:00,+015:58:41, 157,TG14,18611201,20201231,    6,Tanja Likso                                       
   21,914236,ZAGREB/GRIC                             ,HR,+45:49:00,+015:58:59, 162, TG5,19960502,20221031,    -,Synoptical message from GTS
   22,115577,AMIANDOS                                ,CY,+34:55:59,+032:55:00,1360, TG1,19801001,20120430,    7,Michael Panayiotis                                
   23,115579,LARNACA                                 ,CY,+34:52:59,+033:37:59,   1, TG1,19760406,20131231,    7,Michael Panayiotis                                
   23,917609,LARNACA AIRPORT                         ,CY,+34:52:59,+033:37:59,   2, TG5,19820113,20211112,    -,Synoptical message from GTS
   24,115580,LIMASSOL                                ,CY,+34:40:00,+033:02:59,   5, TG1,19760101,20131231,    7,Michael Panayiotis                                
   24,917601,AKROTIRI                                ,CY,+34:34:59,+032:58:59,  23, TG5,19820113,20221031,    -,Synoptical message from GTS
   25,115578,ATHALASSA                               ,CY,+35:09:00,+033:24:00, 162, TG1,19830101,20131231,    7,Michael Panayiotis                                
   25,115581,NICOSIA                                 ,CY,+35:10:00,+033:21:00, 160, TG1,19720101,20001231,    7,Michael Panayiotis                                
   25,917607,ATHALASSA                               ,CY,+35:09:00,+033:24:00, 161, TG5,19900715,20110311,    -,Synoptical message from GTS
   26,115583,POLIS                                   ,CY,+35:01:59,+032:25:59,  20, TG1,19731115,20131231,    7,Michael Panayiotis                                
   27,100080,PRAHA-KLEMENTINUM                       ,CZ,+50:05:11,+014:24:59, 191,TG14,17750101,20220930,    8,Lenka Crhova                                      
   28,100084,HELSINKI KAISANIEMI                     ,FI,+60:10:30,+024:56:52,   4, TG1,19510101,20220228,    9,Pauli Jokinen                                     
   28,142234,HELSINKI RAUTATIENTORI                  ,FI,+60:10:17,+024:56:52,   3,TG15,20091102,20150923,    9,Pauli Jokinen                                     
   28,142244,VALLISAARI                              ,FI,+60:07:59,+025:00:00,  10,TG15,19590101,19650531,    9,Pauli Jokinen                                     
   29,100088,JYVASKYLA LENTOASEMA                    ,FI,+62:24:07,+025:40:42, 139, TG1,19510101,20220228,    9,Pauli Jokinen                                     
   29,902935,JYVASKYLA                               ,FI,+62:24:00,+025:40:59, 145, TG5,19820113,20201101,    -,Synoptical message from GTS
   30,100092,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS  ,FI,+67:21:57,+026:37:59, 179, TG1,19590101,20220228,    9,Pauli Jokinen                                     
   30,106038,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS  ,FI,+67:21:57,+026:37:59, 179, TG5,19080101,20041231,    9,Pauli Jokinen                                     
   30,146296,SODANKYLA AWS                           ,FI,+67:22:04,+026:37:58, 179,TG15,20010613,20080203,    9,Pauli Jokinen                                     
   30,902836,SODANKYLA                               ,FI,+67:21:59,+026:37:59, 179, TG5,19820113,20201101,    -,Synoptical message from GTS
   31,100838,MARSEILLE OBS. PALAIS-LONCHAMP          ,FR,+43:18:18,+005:23:48,  75, TG5,19000101,20021231,   10,Jean-Michel Soubeyroux                            
   32,100839,BOURGES                                 ,FR,+47:03:33,+002:21:34, 161, TG5,19450301,20201231,   10,Jean-Michel Soubeyroux                            
   32,907255,BOURGES                                 ,FR,+47:04:00,+002:22:00, 166, TG5,19820113,20221031,    -,Synoptical message from GTS
   33,100840,TOULOUSE-BLAGNAC                        ,FR,+43:37:15,+001:22:44, 151, TG5,19470101,20201231,   10,Jean-Michel Soubeyroux                            
   33,907630,TOULOUSE BLAGNAC                        ,FR,+43:37:00,+001:22:59, 158, TG5,19820114,20221031,    -,Synoptical message from GTS
   33,907631,TOULOUSE FRANCAZAL                      ,FR,+43:31:59,+001:22:00, 164, TG5,20001019,20221031,    -,Synoptical message from GTS
   34,100841,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, TG5,19201109,20201231,   10,Jean-Michel Soubeyroux                            
   34,907510,BORDEAUX MERIGNAC                       ,FR,+44:49:59,-000:42:00,  54, TG5,19820113,20221031,    -,Synoptical message from GTS
   36,100843,PERPIGNAN                               ,FR,+42:44:13,+002:52:22,  42, TG5,19241117,20201231,   10,Jean-Michel Soubeyroux                            
   36,907747,PERPIGNAN                               ,FR,+42:43:59,+002:52:00,  47, TG5,19820113,20221031,    -,Synoptical message from GTS
   37,100844,LYON - ST EXUPERY                       ,FR,+45:43:35,+005:04:40, 235, TG5,19750420,20201231,   10,Jean-Michel Soubeyroux                            
   37,907481,LYON-ST EXUPERY                         ,FR,+45:45:00,+005:04:59, 240, TG5,19820113,20221031,    -,Synoptical message from GTS
   39,106702,MARIGNANE                               ,FR,+43:26:16,+005:12:57,   9, TG5,19210101,20201231,   10,Jean-Michel Soubeyroux                            
   39,907650,MARIGNANE                               ,FR,+43:27:00,+005:13:59,  32, TG5,19820113,20221031,    -,Synoptical message from GTS
   40,100128,BAMBERG                                 ,DE,+49:52:31,+010:55:18, 240, TG3,19490101,20221031,   11,National Climate Data Center (DWD)                
   41,100133,BERLIN-DAHLEM                           ,DE,+52:27:50,+013:18:06,  51, TG3,19500101,20221031,   11,National Climate Data Center (DWD)                
   41,127488,BERLIN-DAHLEM (LFAG)                    ,DE,+52:27:28,+013:18:05,  55, TG3,18760101,19621231,   11,National Climate Data Center (DWD)                
   42,100138,BREMEN                                  ,DE,+53:02:47,+008:47:57,   4, TG3,18900101,20221031,   11,National Climate Data Center (DWD)                
   43,100143,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:40:59, 246, TG3,19170101,19740630,   11,National Climate Data Center (DWD)                
   43,102302,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:21, 227, TG3,19340101,20221031,   11,National Climate Data Center (DWD)                
   44,100148,FRANKFURT                               ,DE,+50:02:47,+008:35:54, 112, TG3,19490101,20221031,   11,National Climate Data Center (DWD)                
   44,122376,FRANKFURT/MAIN (FELDBERGSTR.)           ,DE,+50:07:21,+008:39:39, 109, TG3,18700101,19611130,   11,National Climate Data Center (DWD)                
   45,100153,HALLE                                   ,DE,+51:30:52,+011:57:02,  93, TG3,19510101,20150322,   11,National Climate Data Center (DWD)                
   45,910466,HALLE-KROELLWITZ                        ,DE,+51:31:00,+011:57:00,  96, TG5,20040101,20150323,    -,Synoptical message from GTS
   46,100158,HAMBURG BERGEDORF                       ,DE,+53:28:50,+010:14:34,  35, TG3,19120101,19620930,   11,National Climate Data Center (DWD)                
   47,111417,HAMBURG FUHLSBUETTEL                    ,DE,+53:38:06,+009:59:24,  11, TG3,19360101,20221031,   11,National Climate Data Center (DWD)                
   47,181383,HAMBURG (DEUTSCHE SEEWARTE)             ,DE,+53:32:48,+009:58:17,   3, TG3,18910101,19351231,   11,National Climate Data Center (DWD)                
   48,100167,HOHENPEISSENBERG                        ,DE,+47:48:06,+011:00:42, 977, TG3,17810101,20221031,   11,National Climate Data Center (DWD)                
   49,100172,JENA STERNWARTE                         ,DE,+50:55:36,+011:35:03, 155, TG3,18240101,20221031,   11,National Climate Data Center (DWD)                
   50,100177,KAISERSLAUTERN                          ,DE,+49:25:31,+007:44:12, 285, TG3,19010101,20221031,   11,National Climate Data Center (DWD)                
   51,100182,KARLSRUHE                               ,DE,+49:02:21,+008:21:54, 112, TG3,18760101,20081031,   11,National Climate Data Center (DWD)                
   51,111506,RHEINSTETTEN                            ,DE,+48:58:24,+008:19:51, 116, TG3,19480101,20221031,   11,National Climate Data Center (DWD)                
   52,100187,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, TG3,19540601,20221031,   11,National Climate Data Center (DWD)                
   52,126264,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, TG3,19451101,19531231,   11,National Climate Data Center (DWD)                
   52,126276,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:51,+011:30:11, 515, TG3,18790101,19541231,   11,National Climate Data Center (DWD)                
   52,126288,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:00,+011:30:09, 515, TG3,19550101,19990331,   11,National Climate Data Center (DWD)                
   53,126336,MUENSTER                                ,DE,+51:57:02,+007:35:29,  62, TG3,18910101,19911231,   11,National Climate Data Center (DWD)                
   54,100197,POTSDAM                                 ,DE,+52:23:00,+013:03:50,  81, TG3,18930101,20221031,   11,National Climate Data Center (DWD)                
   55,100202,SCHWERIN                                ,DE,+53:38:39,+011:23:18,  59, TG3,18900101,20221031,   11,National Climate Data Center (DWD)                
   58,100217,ZUGSPITZE                               ,DE,+47:25:19,+010:59:12,2964, TG3,19000801,20221031,   11,National Climate Data Center (DWD)                
   59,100222,CORFU                                   ,GR,+39:37:00,+019:55:00,  11, TG1,19550101,20041231,   12,Maria Michelaraki                                 
   59,916641,KERKYRA                                 ,GR,+39:37:00,+019:55:00,   4, TG5,19820113,20221031,    -,Synoptical message from GTS
   60,100227,HELLINIKON                              ,GR,+37:54:00,+023:45:00,  10, TG1,19550101,20041231,   12,Maria Michelaraki                                 
   61,100232,HERAKLION                               ,GR,+35:19:59,+025:10:59,  39, TG1,19550101,20041231,   12,Maria Michelaraki                                 
   61,916754,HERAKLION                               ,GR,+35:19:59,+025:10:59,  39, TG5,19820113,20221031,    -,Synoptical message from GTS
   62,100237,LARISSA                                 ,GR,+39:39:00,+022:27:00,  73, TG1,19550101,20041231,   12,Maria Michelaraki                                 
   62,916648,LARISSA                                 ,GR,+39:37:59,+022:25:00,  74, TG5,19820114,20221031,    -,Synoptical message from GTS
   63,100242,METHONI                                 ,GR,+36:49:59,+021:42:00,  52, TG1,19560101,20041231,   12,Maria Michelaraki                                 
   63,916734,METHONI                                 ,GR,+36:49:59,+021:42:00,  34, TG5,19820115,20221031,    -,Synoptical message from GTS
   64,100246,BUDAPEST                                ,HU,+47:30:39,+019:01:14, 153,TG13,19010101,20201231,   13,Monika Lakatos                                    
   65,100249,DALATANGI                               ,IS,+65:16:05,-013:34:32,   9,TG15,19490101,20161231,   14,Toranna Palsdottir                                
   65,904097,DALATANGI                               ,IS,+65:16:00,-013:34:59,  11, TG5,19820112,20221031,    -,Synoptical message from GTS
   65,904197,DALATANGI                               ,IS,+65:16:00,-013:34:59,  11, TG5,20060913,20221031,    -,Synoptical message from GTS
   66,100253,REYKJAVIK                               ,IS,+64:07:37,-021:54:09,  52,TG15,19490101,20161231,   14,Toranna Palsdottir                                
   67,100257,STYKKISHOLMUR                           ,IS,+65:04:26,-022:44:00,  13,TG15,19490101,20161231,   14,Toranna Palsdottir                                
   67,904013,STYKKISHOLMUR                           ,IS,+65:04:59,-022:43:59,   8, TG5,19820113,20221031,    -,Synoptical message from GTS
   68,100261,TEIGARHORN                              ,IS,+64:40:33,-014:20:38,  14,TG15,19500101,20090630,   14,Toranna Palsdottir                                
   68,175809,TEIGARHORN (AWS)                        ,IS,+64:40:32,-014:20:38,  21,TG15,20090701,20161231,   14,Toranna Palsdottir                                
   69,100265,VESTMANNAEYJAR                          ,IS,+63:24:00,-020:16:59, 118,TG15,19510101,20051231,   14,Toranna Palsdottir                                
   69,175787,STORHOFDI                               ,IS,+63:23:58,-020:17:17, 118,TG15,19490102,20130430,   14,Toranna Palsdottir                                
   69,175798,STORHOFDI (AWS)                         ,IS,+63:23:57,-020:17:17, 118,TG15,20130501,20161231,   14,Toranna Palsdottir                                
   69,904048,VESTMANNAEYJAR                          ,IS,+63:24:00,-020:16:59, 124, TG5,19820113,20221031,    -,Synoptical message from GTS
   70,100269,ALEKSANDROV GAJ                         ,RU,+50:09:00,+048:33:00,  23, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   70,934391,ALEKSANDROV-GAJ                         ,RU,+50:09:00,+048:33:00,  25, TG5,19820114,20131109,    -,Synoptical message from GTS
   71,100273,ARXANGEL'SK                             ,RU,+64:30:00,+040:43:59,   8, TG1,18810101,20190630,   15,Vyacheslav Razuvaev                               
   71,922550,ARHANGEL SK                             ,RU,+64:33:00,+040:34:59,   4, TG5,19820113,20131125,    -,Synoptical message from GTS
   72,100277,ARMAVIR                                 ,RU,+44:58:59,+041:07:00, 158, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   72,937031,ARMAVIR                                 ,RU,+44:58:59,+041:07:00, 159, TG5,19820118,20131031,    -,Synoptical message from GTS
   73,100281,ASTRAXAN'                               ,RU,+46:16:59,+047:58:59, -22, TG1,18810101,20190630,   15,Vyacheslav Razuvaev                               
   74,100285,ELAT'MA                                 ,RU,+54:57:00,+041:46:00, 132, TG1,18860101,20190630,   15,Vyacheslav Razuvaev                               
   75,100289,XOSEDA-XARD                             ,RU,+67:04:59,+059:22:59,  82, TG1,19360101,20160417,   15,Vyacheslav Razuvaev                               
   75,923219,HOSEDA-HARD                             ,RU,+67:04:59,+059:22:59,  84, TG5,19820114,20160416,    -,Synoptical message from GTS
   76,100293,IZEVSK                                  ,RU,+56:49:59,+053:27:00, 155, TG1,19580101,20190630,   15,Vyacheslav Razuvaev                               
   77,100297,KALININGRAD                             ,RU,+54:42:00,+020:37:00,  20, TG1,19470101,20190630,   15,Vyacheslav Razuvaev                               
   77,926702,KALININGRAD                             ,RU,+54:43:00,+020:33:00,  21, TG5,19820113,20200728,    -,Synoptical message from GTS
   78,100301,KANDALAKSHA                             ,RU,+67:09:00,+032:21:00,  26, TG1,19120901,20190630,   15,Vyacheslav Razuvaev                               
   78,922217,KANDALAKSHA                             ,RU,+67:09:00,+032:21:00,  25, TG5,19820114,20221031,    -,Synoptical message from GTS
   79,100305,KEM'-PORT                               ,RU,+64:58:59,+034:48:59,   7, TG1,19161201,20190630,   15,Vyacheslav Razuvaev                               
   79,922520,KEM  -PORT                              ,RU,+64:58:59,+034:47:58,   8, TG5,20061125,20221031,    -,Synoptical message from GTS
   79,922522,KEM'-PORT                               ,RU,+64:58:59,+034:48:59,   0, TG5,19820113,20060627,    -,Synoptical message from GTS
   80,100309,KURSK                                   ,RU,+51:46:00,+036:10:00, 246, TG1,18910101,20190630,   15,Vyacheslav Razuvaev                               
   80,934009,KURSK                                   ,RU,+51:46:00,+036:09:59, 247, TG5,19820113,20221031,    -,Synoptical message from GTS
   81,100313,KOJNAS                                  ,RU,+64:45:00,+047:39:00,  63, TG1,19120901,20190630,   15,Vyacheslav Razuvaev                               
   81,922583,KOJNAS                                  ,RU,+64:45:00,+047:39:00,  64, TG5,19820113,20181014,    -,Synoptical message from GTS
   82,100317,KOSTROMA                                ,RU,+57:43:59,+040:51:00, 125, TG1,19250101,20190630,   15,Vyacheslav Razuvaev                               
   83,100321,KOTLAS                                  ,RU,+61:16:00,+046:43:00,  55, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   83,922887,KOTLAS                                  ,RU,+61:13:59,+046:43:00,  56, TG5,19820113,20221031,    -,Synoptical message from GTS
   84,100325,KRASNOUFIMSK                            ,RU,+56:39:00,+057:46:59, 205, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   85,100329,SANKT-PETERBURG                         ,RU,+59:58:00,+030:18:00,   3, TG1,18810101,20190630,   15,Vyacheslav Razuvaev                               
   85,926063,ST.PETERSBURG                           ,RU,+59:58:00,+030:18:00,   6, TG5,19820113,20221031,    -,Synoptical message from GTS
   86,100333,MURMANSK                                ,RU,+68:58:00,+033:02:59,  57, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   86,922113,MURMANSK                                ,RU,+68:58:00,+033:02:58,  51, TG5,19820115,20221031,    -,Synoptical message from GTS
   87,100337,MOSKVA VDNX                             ,RU,+55:49:59,+037:37:00, 147, TG1,19480601,20190630,   15,Vyacheslav Razuvaev                               
   87,927612,MOSKVA                                  ,RU,+55:49:59,+037:37:00, 156, TG5,19820113,20221031,    -,Synoptical message from GTS
   88,100341,NAR'YAN-MAR                             ,RU,+67:37:59,+053:01:59,  10, TG1,19261114,20190630,   15,Vyacheslav Razuvaev                               
   88,923205,NAR JAN-MAR                             ,RU,+67:37:59,+053:01:59,  12, TG5,19820113,20200610,    -,Synoptical message from GTS
   89,100345,UFA                                     ,RU,+54:43:00,+055:49:59, 104, TG1,19000101,20190630,   15,Vyacheslav Razuvaev                               
   90,100349,ONEGA                                   ,RU,+63:54:00,+038:07:00,  11, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   91,100353,ORENBURG                                ,RU,+51:40:59,+055:06:00, 115, TG1,18860201,20190630,   15,Vyacheslav Razuvaev                               
   91,935121,ORENBURG                                ,RU,+51:40:59,+055:06:00, 117, TG5,19820113,20220929,    -,Synoptical message from GTS
   92,100357,PAVELEÑ                                ,RU,+53:46:59,+039:15:00, 209, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   92,927823,PAVELETS                                ,RU,+53:46:59,+039:15:00, 209, TG5,19820117,20170404,    -,Synoptical message from GTS
   93,100361,PETROPAVLOVSK                           ,RU,+54:49:59,+069:09:00, 142, TG1,19360101,20171231,   15,Vyacheslav Razuvaev                               
   93,117427,PETROPAVLOVSK                           ,KZ,+54:49:59,+069:09:00, 142, TG1,18901119,20101231,   15,Vyacheslav Razuvaev                               
   94,100365,PECHORA                                 ,RU,+65:07:00,+057:06:00,  53, TG1,19430901,20190630,   15,Vyacheslav Razuvaev                               
   94,923418,PECHORA                                 ,RU,+65:06:59,+057:06:00,  59, TG5,19820113,20211007,    -,Synoptical message from GTS
   95,100369,PSKOV                                   ,RU,+57:49:00,+028:19:59,  43, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   95,926258,PSKOV                                   ,RU,+57:49:00,+028:25:00,  45, TG5,19820113,20221031,    -,Synoptical message from GTS
   96,100373,SARATOV                                 ,RU,+51:34:00,+045:01:59, 151, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
   97,100377,SMOLENSK                                ,RU,+54:45:00,+032:04:00, 236, TG1,19440101,20190630,   15,Vyacheslav Razuvaev                               
   97,926781,SMOLENSK                                ,RU,+54:45:00,+032:04:00, 239, TG5,19820116,20221031,    -,Synoptical message from GTS
   98,100381,SORTAVALA                               ,RU,+61:43:00,+030:43:00,  17, TG1,19450101,20190630,   15,Vyacheslav Razuvaev                               
   98,922802,SORTAVALA                               ,RU,+61:43:00,+030:43:00,  19, TG5,19820113,20221031,    -,Synoptical message from GTS
   99,100385,SY'KTY'VKAR                             ,RU,+61:40:00,+050:52:00, 116, TG1,18880404,20190630,   15,Vyacheslav Razuvaev                               
   99,923804,SYKTYVKAR                               ,RU,+61:40:59,+050:46:59, 119, TG5,19820113,20220219,    -,Synoptical message from GTS
